PlotID,Block,PlotName,Location,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,SampleWeek,SampleDate,Year,Month,Day,Hght_w6_cm,Hght_w6_cm,Hght_w6_cm,Chloro_w6_CCI,Chloro_w6_CCI,Chloro_w6_CCI,,,,,,,,,,,,,
117,15,OC_SHSS-2,OC,SH,SHSS,4,2,3,423,6,6/24/2019,2019,6,24,164,154,172,16.2,10.3,13.7,,,,,,,,,,,,,
117,15,OC_SHSS-2,OC,SS,SHSS,4,2,3,423,6,6/24/2019,2019,6,24,186,198,196,19.8,22.7,27.8,,,,,,,,,,,,,
118,15,OC_SS-2,OC,SS,SS,4,2,4,424,6,6/24/2019,2019,6,24,216,290,193,28.5,18.5,23.9,,,,,,,,,,,,,
119,15,OC_SSVB-2,OC,SS,SSVB,4,2,5,425,6,6/24/2019,2019,6,24,,,,,,,,,,,,,,,,,,,
119,15,OC_SSVB-2,OC,VB,SSVB,4,2,5,425,6,6/24/2019,2019,6,24,178,153,184,28.4,12.8,16.2,,,,,,,,,,,,,
120,15,OC_SH-2,OC,SH,SH,4,2,6,426,6,6/24/2019,2019,6,24,250,199,270,22.3,28.5,11.4,,,,,,,,,,,,,
121,15,OC_SSVB-3,OC,SS,SSVB,4,3,1,431,6,6/24/2019,2019,6,24,212,180,183,26.2,36.2,24.8,,,,,,,,,,,,,
121,15,OC_SSVB-3,OC,VB,SSVB,4,3,1,431,6,6/24/2019,2019,6,24,196+,221+,217+,23.8,24,18.6,,,,,,,,,,,,,
122,15,OC_SH-3,OC,SH,SH,4,3,2,432,6,6/24/2019,2019,6,24,151,149,137,17.8,19.7,17.7,,,,,,,,,,,,,
123,15,OC_VB-3,OC,VB,VB,4,3,3,433,6,6/24/2019,2019,6,24,239+,261+,221,25.3,11,10.1,,,,,,,,,,,,,
124,15,OC_SHVB-3,OC,SH,SHVB,4,3,4,434,6,6/24/2019,2019,6,24,158,187,141,13.7,17.2,12.5,,,,,,,,,,,,,
124,15,OC_SHVB-3,OC,VB,SHVB,4,3,4,434,6,6/24/2019,2019,6,24,240+,213+,216+,16,9.8,16.7,,,,,,,,,,,,,
125,15,OC_SHSS-3,OC,SH,SHSS,4,3,5,435,6,6/24/2019,2019,6,24,148,156,151,14.9,13.5,15.3,,,,,,,,,,,,,
125,15,OC_SHSS-3,OC,SS,SHSS,4,3,5,435,6,6/24/2019,2019,6,24,199,241,290,36.8,28.6,26.3,,,,,,,,,,,,,
126,15,OC_SS-3,OC,SS,SS,4,3,6,436,6,6/24/2019,2019,6,24,191,186,190,33.4,25,27.6,,,,,,,,,,,,,
127,15,OC_SH-4,OC,SH,SH,4,4,1,441,6,6/24/2019,2019,6,24,137,172,136,9.7,16.3,23.2,,,,,,,,,,,,,
128,15,OC_SSVB-4,OC,SS,SSVB,4,4,2,442,6,6/24/2019,2019,6,24,214,221,169,19.2,16.9,18.6,,,,,,,,,,,,,
128,15,OC_SSVB-4,OC,VB,SSVB,4,4,2,442,6,6/24/2019,2019,6,24,172+,101+,110+,18.1,8.8,19,,,,,,,,,,,,,
129,15,OC_SS-4,OC,SS,SS,4,4,3,443,6,6/24/2019,2019,6,24,196,221,219,12.5,20.5,28.6,,,,,,,,,,,,,
130,15,OC_VB-4,OC,VB,VB,4,4,4,444,6,6/24/2019,2019,6,24,156+,215+,175+,24.6,25.9,19.8,,,,,,,,,,,,,
131,15,OC_SHVB-4,OC,SH,SHVB,4,4,5,445,6,6/24/2019,2019,6,24,167,142,133,23,19.4,12.2,,,,,,,,,,,,,
131,15,OC_SHVB-4,OC,VB,SHVB,4,4,5,445,6,6/24/2019,2019,6,24,140+,130+,NA,12.7,7.6,16.5,,,,,,,,,,,,,
132,15,OC_SHSS-4,OC,SH,SHSS,4,4,6,446,6,6/24/2019,2019,6,24,151,171,161,12.5,8.6,16.2,,,,,,,,,,,,,
132,15,OC_SHSS-4,OC,SS,SHSS,4,4,6,446,6,6/24/2019,2019,6,24,233,210,230,23.5,26.9,22.9,,,,,,,,,,,,,
133,15,OC_VB-5,OC,VB,VB,4,5,1,451,6,6/24/2019,2019,6,24,358+,218+,156+,21.9,16.1,17.8,,,,,,,,,,,,,
134,15,OC_SHSS-5,OC,SH,SHSS,4,5,2,452,6,6/24/2019,2019,6,24,195,179,182,22.5,18.5,12.3,,,,,,,,,,,,,
134,15,OC_SHSS-5,OC,SS,SHSS,4,5,2,452,6,6/24/2019,2019,6,24,234,240,188,20.5,23,11.6,,,,,,,,,,,,,
135,15,OC_SHVB-5,OC,VB,SHVB,4,5,3,453,6,6/24/2019,2019,6,24,198+,165+,191+,30.2,21.8,12.4,,,,,,,,,,,,,
135,15,OC_SHVB-5,OC,SH,SHVB,4,5,3,453,6,6/24/2019,2019,6,24,166,184,133,13.8,18.4,16.8,,,,,,,,,,,,,
136,15,OC_SH-5,OC,SH,SH,4,5,4,454,6,6/24/2019,2019,6,24,171,122,161,14.5,17.1,21.2,,,,,,,,,,,,,
137,15,OC_SS-5,OC,SS,SS,4,5,5,455,6,6/24/2019,2019,6,24,237,253,224,29.1,7.6,29.8,,,,,,,,,,,,,
138,15,OC_SSVB-5,OC,VB,SSVB,4,5,6,456,6,6/24/2019,2019,6,24,174+,242+,206+,13.1,10.8,22.7,,,,,,,,,,,,,
138,15,OC_SSVB-5,OC,SS,SSVB,4,5,6,456,6,6/24/2019,2019,6,24,211,230,180,27.9,31.7,34.8,,,,,,,,,,,,,
139,15,OC_SS-6,OC,SS,SS,4,6,1,461,6,6/24/2019,2019,6,24,177,197,221,16.3,31.1,6.5,,,,,,,,,,,,,
140,15,OC_SHVB-6,OC,SH,SHVB,4,6,2,462,6,6/24/2019,2019,6,24,153,163,152,15.1,25.5,23.5,,,,,,,,,,,,,
140,15,OC_SHVB-6,OC,VB,SHVB,4,6,2,462,6,6/24/2019,2019,6,24,235+,214+,199+,18.9,7.6,20.9,,,,,,,,,,,,,
141,15,OC_SSVB-6,OC,SS,SSVB,4,6,3,463,6,6/24/2019,2019,6,24,221,189,214,9.8,18.9,9.1,,,,,,,,,,,,,
141,15,OC_SSVB-6,OC,VB,SSVB,4,6,3,463,6,6/24/2019,2019,6,24,221+,163+,236+,15.5,21.9,17.7,,,,,,,,,,,,,
142,15,OC_SHSS-6,OC,SH,SHSS,4,6,4,464,6,6/24/2019,2019,6,24,157,196,168,15.5,17.1,148,,,,,,,,,,,,,
142,15,OC_SHSS-6,OC,SS,SHSS,4,6,4,464,6,6/24/2019,2019,6,24,219,221,196,44.4,26.8,29.9,,,,,,,,,,,,,
143,15,OC_SH-6,OC,SH,SH,4,6,5,465,6,6/24/2019,2019,6,24,163,171,189,14.4,18.6,25,,,,,,,,,,,,,
144,15,OC_VB-6,OC,VB,VB,4,6,6,466,6,6/24/2019,2019,6,24,162+,183+,269+,19,21.6,19.9,,,,,,,,,,,,,
