PlotID,PlotName,Quadrat,CropSp,LeavesStems_g_1m2,Roots,Weeds,StemCounts
106,HH_SSVB-6,1,SS,172.14,43.93,4.09,44
106,HH_SSVB-6,2,VB,41.02,2.46,,3
107,HH_SHSS-6,2,SH,25.12,3.03,21.28,16
107,HH_SHSS-6,3,SS,257.78,47.68,,51
107,HH_SHSS-6,3,SH,43.88,4.81,5.29,21
107,HH_SHSS-6,1,SS,453.32,60.18,,77
107,HH_SHSS-6,1,SH,11.94,2.36,5.75,11
107,HH_SHSS-6,2,SS,193.56,33.73,,40
108,HH_VB-6,2,VB,73.41,2.92,15.84,6
108,HH_VB-6,3,VB,95.65,4.95,10.58,7
108,HH_VB-6,3,VB,81.41,4.01,28.57,6
109,OC_SHSS-1,1,SH,101.68,9.88,457.34,8
109,OC_SHSS-1,1,SS,721.76,150.54,,24
109,OC_SHSS-1,2,SH,275.34,16.46,73.26,33
109,OC_SHSS-1,2,SS,1650.99,287.61,,40
109,OC_SHSS-1,3,SH,300.84,34.28,176.67,30
109,OC_SHSS-1,3,SS,615.27,111.77,,25
110,OC_SS-1,1,SS,1230.86,178.97,207.66,31
110,OC_SS-1,2,SS,1751.59,323.81,83.22,32
110,OC_SS-1,3,SS,1506.68,294.54,74.57,26
111,OC_SH-1,1,SH,385.52,30.54,325.1,31
111,OC_SH-1,2,SH,428.87,41.35,182.04,56
111,OC_SH-1,3,SH,519.89,43.01,295.61,54
112,OC_SSVB-1,1,SS,1883.85,383.7,74.52,37
112,OC_SSVB-1,1,VB,68.02,3.23,,2
112,OC_SSVB-1,2,SS,1189.27,211.92,67,22
112,OC_SSVB-1,2,VB,167.89,6.81,,3
112,OC_SSVB-1,3,SS,1740.44,233.87,32.25,52
112,OC_SSVB-1,3,VB,133.32,3.01,,3
113,OC_VB-1,1,VB,245.79,7.74,222.18,3
113,OC_VB-1,2,VB,216.69,10.92,286.03,3
113,OC_VB-1,3,VB,343.14,11.83,230.07,4
114,OC_SHVB-1,1,SH,466.93,35.35,320.07,24
114,OC_SHVB-1,1,VB,135.78,6.76,,3
114,OC_SHVB-1,2,SH,178.59,16.17,472.88,14
114,OC_SHVB-1,2,VB,0,0,,0
114,OC_SHVB-1,3,SH,151.72,12.97,262.18,8
114,OC_SHVB-1,3,VB,179.72,6.75,,2
115,OC_SHVB-2,1,SH,197.09,14.17,251.73,12
115,OC_SHVB-2,1,VB,408.29,12.59,,6
115,OC_SHVB-2,2,SH,223.04,15.92,624.39,17
115,OC_SHVB-2,2,VB,19.14,2.27,,1
115,OC_SHVB-2,3,SH,287.77,21.12,691.15,17
115,OC_SHVB-2,3,VB,152.19,5.04,,3
116,OC_VB-2,1,VB,273.15,12.31,520.36,5
116,OC_VB-2,2,VB,274.2,8.12,576.64,6
116,OC_VB-2,3,VB,297.11,19,873.53,6
117,OC_SHSS-2,1,SH,280.48,13.69,109.68,29
117,OC_SHSS-2,1,SS,2203.08,376.8,,41
117,OC_SHSS-2,2,SH,421.58,25.33,78.71,33
117,OC_SHSS-2,2,SS,1383.12,162.71,,23
117,OC_SHSS-2,3,SH,232.67,16.76,370.42,17
117,OC_SHSS-2,3,SS,1518.11,204.46,,23
118,OC_SS-2,1,SS,2918.62,301.57,41.69,82
118,OC_SS-2,2,SS,2273.32,224.26,109.16,54
118,OC_SS-2,3,SS,2504.7,312.72,337.06,69
119,OC_SSVB-2,1,SS,1599.69,305.2,315.3,19
119,OC_SSVB-2,1,VB,0,0,,0
119,OC_SSVB-2,2,SS,1374.9,234.22,120.18,14
119,OC_SSVB-2,2,VB,102.37,4.72,,3
119,OC_SSVB-2,3,SS,2525.5,402.43,116.35,37
119,OC_SSVB-2,3,VB,42.98,,,1
120,OC_SH-2,1,SH,427.08,29.32,498.2,37
120,OC_SH-2,2,SH,401.13,34.21,367.89,40
120,OC_SH-2,3,SH,401.14,34.21,257.55,40
121,OC_SSVB-3,1,SS,990.02,201.89,740.6,14
121,OC_SSVB-3,1,VB,809.2,3.89,,1
121,OC_SSVB-3,2,SS,1270.67,261.9,228.46,17
121,OC_SSVB-3,2,VB,308.21,11.15,,4
121,OC_SSVB-3,3,SS,2430.71,328.08,176.44,31
121,OC_SSVB-3,3,VB,157.39,6.35,,2
122,OC_SH-3,1,SH,655.93,42.46,201.02,39
122,OC_SH-3,2,SH,264.59,15.89,373.21,21
122,OC_SH-3,3,SH,528.92,343.33,401,36
123,OC_VB-3,1,VB,189.73,5.76,344.67,3
123,OC_VB-3,2,VB,327.42,13.97,314.03,5
123,OC_VB-3,3,VB,199.94,9.86,467.46,3
124,OC_SHVB-3,1,SH,441.8,9.52,181.44,23
124,OC_SHVB-3,1,VB,311.31,9.54,,4
124,OC_SHVB-3,2,SH,448.14,38.75,230.45,26
124,OC_SHVB-3,2,VB,213.38,11.06,,2
124,OC_SHVB-3,3,SH,193.38,13.05,305.88,18
124,OC_SHVB-3,3,VB,486.65,16.07,,3
125,OC_SHSS-3,1,SH,120.09,8.44,362.7,8
125,OC_SHSS-3,1,SS,1043.17,152.45,,17
125,OC_SHSS-3,2,SH,204.76,17.5,305.48,11
125,OC_SHSS-3,2,SS,926.66,230.01,,14
125,OC_SHSS-3,3,SH,214.38,14.52,160.36,22
125,OC_SHSS-3,3,SS,1347.02,167.23,,69
126,OC_SS-3,1,SS,702.38,100.99,217.14,32
126,OC_SS-3,2,SS,1044.8,124.87,173.63,59
126,OC_SS-3,3,SS,993.51,120.25,267.76,40
127,OC_SH-4,1,SH,445.68,340.15,597.46,31
127,OC_SH-4,2,SH,317.59,245.54,514.36,21
127,OC_SH-4,3,SH,431.46,327.1,392.68,29
128,OC_SSVB-4,1,SS,1276.99,203.09,55.67,50
128,OC_SSVB-4,1,VB,150.98,5.25,,5
128,OC_SSVB-4,2,SS,1068.38,259.9,101.56,36
128,OC_SSVB-4,2,VB,2.8,0.6,,1
128,OC_SSVB-4,3,SS,1731.51,288.68,227.01,52
128,OC_SSVB-4,3,VB,109.95,2.13,,2
129,OC_SS_4,1,SS,1355.38,169.39,41.77,78
129,OC_SS_4,2,SS,1538.15,160.02,34.5,148
129,OC_SS_4,3,SS,1790.47,328.6,207.68,58
130,OC_VB-4,1,VB,303.81,7.85,468.73,4
130,OC_VB-4,2,VB,49.6,1.63,563.78,1
130,OC_VB-4,3,VB,192.69,5.51,483.32,3
131,OC_SHVB-4,1,SH,151.81,9.13,838.12,12
131,OC_SHVB-4,1,VB,14.61,0.51,,1
131,OC_SHVB-4,2,SH,113.67,4.43,673.7,7
131,OC_SHVB-4,2,VB,133.68,2.19,,3
131,OC_SHVB-4,3,SH,458.7,22.79,683.18,30
131,OC_SHVB-4,3,VB,0,0,,0
132,OC_SHSS-4,1,SH,242.13,14.62,784.25,25
132,OC_SHSS-4,1,SS,1592.89,152.75,,29
132,OC_SHSS-4,2,SH,132.48,8.6,180.3,19
132,OC_SHSS-4,2,SS,2403.88,108.62,,46
132,OC_SHSS-4,3,SH,20.38,0.67,363.88,3
132,OC_SHSS-4,3,SS,1272.94,174.52,,30
133,OC_VB-5,1,VB,237.92,7.44,830.13,7
133,OC_VB-5,2,VB,208.58,7.67,1091.72,9
133,OC_VB-5,3,VB,278.92,7.63,690.25,6
134,OC_SHSS-5,1,SH,117.87,14.03,108.15,27
134,OC_SHSS-5,1,SS,545.17,85.72,,48
134,OC_SHSS-5,2,SH,90.4,5.53,186.87,15
134,OC_SHSS-5,2,SS,540.64,105.44,,31
134,OC_SHSS-5,3,SH,84.57,5.26,77.29,49
134,OC_SHSS-5,3,SS,545,89.96,,11
135,OC_SHVB-5,1,SH,117.15,9.36,318.53,13
135,OC_SHVB-5,1,VB,751.72,5.24,,5
135,OC_SHVB-5,2,SH,44.98,1.23,347.1,9
135,OC_SHVB-5,2,VB,149.8,5.06,,5
135,OC_SHVB-5,3,SH,83.21,4.63,249.93,12
135,OC_SHVB-5,3,VB,29.56,0.43,,1
136,OC_SH-5,1,SH,86.95,3.61,612.58,19
136,OC_SH-5,2,SH,184.31,11.05,604.13,27
136,OC_SH-5,3,SH,164.53,10.08,376.14,34
137,OC_SS-5,1,SS,1431.89,196.2,300.54,37
137,OC_SS-5,2,SS,1269.99,207.25,230.03,39
137,OC_SS-5,3,SS,1501.83,202.76,178.45,56
138,OC_SSVB-5,1,SS,522.62,190.67,407.64,31
138,OC_SSVB-5,1,VB,72.36,0.53,,3
138,OC_SSVB-5,2,SS,1111.21,182.21,591.1,39
138,OC_SSVB-5,2,VB,45.35,0.34,,2
138,OC_SSVB-5,3,SS,400.46,64.25,456.16,17
138,OC_SSVB-5,3,VB,106.76,1.91,,4
139,OC_SS-6,1,SS,1270.84,219.12,238.8,77
139,OC_SS-6,2,SS,682.51,135.89,227.63,57
139,OC_SS-6,3,SS,662.78,147.83,111.34,97
140,OC_SHVB-6,1,SH,110.28,8.06,230.55,27
140,OC_SHVB-6,1,VB,59.09,2.22,,3
140,OC_SHVB-6,2,SH,135.45,11.9,153.84,29
140,OC_SHVB-6,2,VB,22.27,1.14,,1
140,OC_SHVB-6,3,SH,90.54,6.85,228.98,19
140,OC_SHVB-6,3,VB,100.92,2.31,,5
141,OC_SSVB-6,1,SS,231.72,48.73,106.08,28
141,OC_SSVB-6,1,VB,45.72,0.82,,3
141,OC_SSVB-6,2,SS,514.74,100.72,166.7,33
141,OC_SSVB-6,2,VB,82.21,2.06,,3
141,OC_SSVB-6,3,SS,497.17,99.74,99.72,39
141,OC_SSVB-6,3,VB,27.58,1.92,,2
142,OC_SHSS-6,1,SH,68.04,3.37,30.4,20
142,OC_SHSS-6,1,SS,183.83,45.96,,30
142,OC_SHSS-6,2,SH,59.57,5.34,138.06,13
142,OC_SHSS-6,2,SS,350.12,51.44,,37
142,OC_SHSS-6,3,SH,75.58,5.65,155.83,16
142,OC_SHSS-6,3,SS,266.74,50.28,,33
143,OC_SH-6,1,SH,47.09,4.52,56.03,16
143,OC_SH-6,2,SH,101.18,6.03,281.92,36
143,OC_SH-6,3,SH,72.01,6.02,157.45,24
144,OC_VB-6,1,VB,108.92,6.89,213.12,7
144,OC_VB-6,2,VB,31.29,2.32,328.58,2
144,OC_VB-6,3,VB,157.96,7.95,236.36,9
